Sampling rate: 250Hz, SamplingInterval: 4ms
Type, Description, Position, Length, Channel
Pulse Artifact, R, 626568, 1, ECG
Pulse Artifact, R, 627055, 1, ECG
Pulse Artifact, R, 627307, 1, ECG
Pulse Artifact, R, 627533, 1, ECG
Pulse Artifact, R, 627783, 1, ECG
Pulse Artifact, R, 628272, 1, ECG
Pulse Artifact, R, 628509, 1, ECG
Pulse Artifact, R, 628748, 1, ECG
Pulse Artifact, R, 628999, 1, ECG
Pulse Artifact, R, 629231, 1, ECG
Pulse Artifact, R, 629452, 1, ECG
Pulse Artifact, R, 629709, 1, ECG
Pulse Artifact, R, 629978, 1, ECG
Pulse Artifact, R, 630434, 1, ECG
Pulse Artifact, R, 630681, 1, ECG
Pulse Artifact, R, 630918, 1, ECG
Pulse Artifact, R, 631155, 1, ECG
Pulse Artifact, R, 631377, 1, ECG
Pulse Artifact, R, 631631, 1, ECG
Pulse Artifact, R, 631904, 1, ECG
Pulse Artifact, R, 632355, 1, ECG
Pulse Artifact, R, 632606, 1, ECG
Pulse Artifact, R, 632847, 1, ECG
Pulse Artifact, R, 633083, 1, ECG
Pulse Artifact, R, 633306, 1, ECG
Pulse Artifact, R, 633557, 1, ECG
Pulse Artifact, R, 633823, 1, ECG
Pulse Artifact, R, 634077, 1, ECG
Pulse Artifact, R, 634311, 1, ECG
Pulse Artifact, R, 634566, 1, ECG
Pulse Artifact, R, 635054, 1, ECG
Pulse Artifact, R, 635302, 1, ECG
Pulse Artifact, R, 635550, 1, ECG
Pulse Artifact, R, 635795, 1, ECG
Pulse Artifact, R, 636025, 1, ECG
Pulse Artifact, R, 636272, 1, ECG
Pulse Artifact, R, 636522, 1, ECG
Pulse Artifact, R, 636759, 1, ECG
Pulse Artifact, R, 636988, 1, ECG
Pulse Artifact, R, 637266, 1, ECG
Pulse Artifact, R, 637757, 1, ECG
Pulse Artifact, R, 638003, 1, ECG
Pulse Artifact, R, 638245, 1, ECG
Pulse Artifact, R, 638497, 1, ECG
Pulse Artifact, R, 638735, 1, ECG
Pulse Artifact, R, 638965, 1, ECG
Pulse Artifact, R, 639239, 1, ECG
Pulse Artifact, R, 639506, 1, ECG
Pulse Artifact, R, 639743, 1, ECG
Pulse Artifact, R, 639986, 1, ECG
Pulse Artifact, R, 640482, 1, ECG
Pulse Artifact, R, 640728, 1, ECG
Pulse Artifact, R, 640969, 1, ECG
Pulse Artifact, R, 641218, 1, ECG
Pulse Artifact, R, 641464, 1, ECG
Pulse Artifact, R, 641688, 1, ECG
Pulse Artifact, R, 641939, 1, ECG
Pulse Artifact, R, 642218, 1, ECG
Pulse Artifact, R, 642474, 1, ECG
Pulse Artifact, R, 642707, 1, ECG
Pulse Artifact, R, 642956, 1, ECG
Pulse Artifact, R, 643460, 1, ECG
Pulse Artifact, R, 643704, 1, ECG
Pulse Artifact, R, 643951, 1, ECG
Pulse Artifact, R, 644200, 1, ECG
Pulse Artifact, R, 644435, 1, ECG
Pulse Artifact, R, 644664, 1, ECG
Pulse Artifact, R, 644919, 1, ECG
Pulse Artifact, R, 645420, 1, ECG
Pulse Artifact, R, 645661, 1, ECG
Pulse Artifact, R, 645906, 1, ECG
Pulse Artifact, R, 646156, 1, ECG
Pulse Artifact, R, 646393, 1, ECG
Pulse Artifact, R, 646622, 1, ECG
Pulse Artifact, R, 646902, 1, ECG
Pulse Artifact, R, 647386, 1, ECG
Pulse Artifact, R, 647641, 1, ECG
Pulse Artifact, R, 647895, 1, ECG
Pulse Artifact, R, 648161, 1, ECG
Pulse Artifact, R, 648406, 1, ECG
Pulse Artifact, R, 648630, 1, ECG
Pulse Artifact, R, 648885, 1, ECG
Pulse Artifact, R, 649152, 1, ECG
Pulse Artifact, R, 649623, 1, ECG
Pulse Artifact, R, 649871, 1, ECG
Pulse Artifact, R, 650115, 1, ECG
Pulse Artifact, R, 650359, 1, ECG
Pulse Artifact, R, 650584, 1, ECG
Pulse Artifact, R, 650833, 1, ECG
Pulse Artifact, R, 651095, 1, ECG
Pulse Artifact, R, 651334, 1, ECG
Pulse Artifact, R, 651562, 1, ECG
Pulse Artifact, R, 651822, 1, ECG
Pulse Artifact, R, 652079, 1, ECG
Pulse Artifact, R, 652313, 1, ECG
Pulse Artifact, R, 652543, 1, ECG
Pulse Artifact, R, 652797, 1, ECG
Pulse Artifact, R, 653060, 1, ECG
Pulse Artifact, R, 653295, 1, ECG
Pulse Artifact, R, 653537, 1, ECG
Pulse Artifact, R, 653805, 1, ECG
Pulse Artifact, R, 654061, 1, ECG
Pulse Artifact, R, 654288, 1, ECG
Pulse Artifact, R, 654534, 1, ECG
Pulse Artifact, R, 654806, 1, ECG
Pulse Artifact, R, 655290, 1, ECG
Pulse Artifact, R, 655537, 1, ECG
Pulse Artifact, R, 655802, 1, ECG
Pulse Artifact, R, 656059, 1, ECG
Pulse Artifact, R, 656293, 1, ECG
Pulse Artifact, R, 656547, 1, ECG
Pulse Artifact, R, 656817, 1, ECG
Pulse Artifact, R, 657069, 1, ECG
Pulse Artifact, R, 657307, 1, ECG
Pulse Artifact, R, 657571, 1, ECG
Pulse Artifact, R, 657836, 1, ECG
Pulse Artifact, R, 658084, 1, ECG
Pulse Artifact, R, 658310, 1, ECG
Pulse Artifact, R, 658560, 1, ECG
Pulse Artifact, R, 658829, 1, ECG
Pulse Artifact, R, 659083, 1, ECG
Pulse Artifact, R, 659315, 1, ECG
Pulse Artifact, R, 659576, 1, ECG
Pulse Artifact, R, 659835, 1, ECG
Pulse Artifact, R, 660087, 1, ECG
Pulse Artifact, R, 660311, 1, ECG
Pulse Artifact, R, 660555, 1, ECG
Pulse Artifact, R, 660811, 1, ECG
Pulse Artifact, R, 661062, 1, ECG
Pulse Artifact, R, 661292, 1, ECG
Pulse Artifact, R, 661545, 1, ECG
Pulse Artifact, R, 661804, 1, ECG
Pulse Artifact, R, 662284, 1, ECG
Pulse Artifact, R, 662531, 1, ECG
Pulse Artifact, R, 663029, 1, ECG
Pulse Artifact, R, 663257, 1, ECG
Pulse Artifact, R, 663524, 1, ECG
Pulse Artifact, R, 663804, 1, ECG
Pulse Artifact, R, 664047, 1, ECG
Pulse Artifact, R, 664285, 1, ECG
Pulse Artifact, R, 664792, 1, ECG
Pulse Artifact, R, 665045, 1, ECG
Pulse Artifact, R, 665281, 1, ECG
Pulse Artifact, R, 665539, 1, ECG
Pulse Artifact, R, 665811, 1, ECG
Pulse Artifact, R, 666056, 1, ECG
Pulse Artifact, R, 666557, 1, ECG
Pulse Artifact, R, 667048, 1, ECG
Pulse Artifact, R, 667292, 1, ECG
Pulse Artifact, R, 667542, 1, ECG
Pulse Artifact, R, 667798, 1, ECG
Pulse Artifact, R, 668027, 1, ECG
Pulse Artifact, R, 668261, 1, ECG
Pulse Artifact, R, 668534, 1, ECG
Pulse Artifact, R, 668787, 1, ECG
Pulse Artifact, R, 669018, 1, ECG
Pulse Artifact, R, 669271, 1, ECG
Pulse Artifact, R, 669536, 1, ECG
Pulse Artifact, R, 670008, 1, ECG
Pulse Artifact, R, 670267, 1, ECG
Pulse Artifact, R, 670515, 1, ECG
Pulse Artifact, R, 670754, 1, ECG
Pulse Artifact, R, 670983, 1, ECG
Pulse Artifact, R, 671243, 1, ECG
Pulse Artifact, R, 671511, 1, ECG
Pulse Artifact, R, 671754, 1, ECG
Pulse Artifact, R, 671987, 1, ECG
Pulse Artifact, R, 672241, 1, ECG
Pulse Artifact, R, 672732, 1, ECG
Pulse Artifact, R, 672976, 1, ECG
Pulse Artifact, R, 673223, 1, ECG
Pulse Artifact, R, 673484, 1, ECG
Pulse Artifact, R, 673750, 1, ECG
Pulse Artifact, R, 673986, 1, ECG
Pulse Artifact, R, 674237, 1, ECG
Pulse Artifact, R, 674728, 1, ECG
Pulse Artifact, R, 674974, 1, ECG
Pulse Artifact, R, 675226, 1, ECG
Pulse Artifact, R, 675475, 1, ECG
Pulse Artifact, R, 675701, 1, ECG
Pulse Artifact, R, 675947, 1, ECG
Pulse Artifact, R, 676210, 1, ECG
Pulse Artifact, R, 676476, 1, ECG
Pulse Artifact, R, 676703, 1, ECG
Pulse Artifact, R, 676955, 1, ECG
Pulse Artifact, R, 677451, 1, ECG
Pulse Artifact, R, 677698, 1, ECG
Pulse Artifact, R, 677940, 1, ECG
Pulse Artifact, R, 678189, 1, ECG
Pulse Artifact, R, 678439, 1, ECG
Pulse Artifact, R, 678672, 1, ECG
Pulse Artifact, R, 678910, 1, ECG
Pulse Artifact, R, 679186, 1, ECG
Pulse Artifact, R, 679667, 1, ECG
Pulse Artifact, R, 679917, 1, ECG
Pulse Artifact, R, 680166, 1, ECG
Pulse Artifact, R, 680415, 1, ECG
Pulse Artifact, R, 680639, 1, ECG
Pulse Artifact, R, 680895, 1, ECG
Pulse Artifact, R, 681157, 1, ECG
Pulse Artifact, R, 681397, 1, ECG
Pulse Artifact, R, 681640, 1, ECG
Pulse Artifact, R, 681906, 1, ECG
Pulse Artifact, R, 682390, 1, ECG
Pulse Artifact, R, 682645, 1, ECG
Pulse Artifact, R, 682897, 1, ECG
Pulse Artifact, R, 683141, 1, ECG
Pulse Artifact, R, 683376, 1, ECG
Pulse Artifact, R, 683621, 1, ECG
Pulse Artifact, R, 683894, 1, ECG
Pulse Artifact, R, 684152, 1, ECG
Pulse Artifact, R, 684385, 1, ECG
Pulse Artifact, R, 684643, 1, ECG
Pulse Artifact, R, 685141, 1, ECG
Pulse Artifact, R, 685386, 1, ECG
Pulse Artifact, R, 685634, 1, ECG
Pulse Artifact, R, 685888, 1, ECG
Pulse Artifact, R, 686141, 1, ECG
Pulse Artifact, R, 686372, 1, ECG
Pulse Artifact, R, 686623, 1, ECG
Pulse Artifact, R, 686890, 1, ECG
Pulse Artifact, R, 687134, 1, ECG
Pulse Artifact, R, 687369, 1, ECG
Pulse Artifact, R, 687637, 1, ECG
Pulse Artifact, R, 687902, 1, ECG
Pulse Artifact, R, 688155, 1, ECG
Pulse Artifact, R, 688380, 1, ECG
Pulse Artifact, R, 688625, 1, ECG
Pulse Artifact, R, 688878, 1, ECG
Pulse Artifact, R, 689140, 1, ECG
Pulse Artifact, R, 689369, 1, ECG
Pulse Artifact, R, 689626, 1, ECG
Pulse Artifact, R, 689898, 1, ECG
Pulse Artifact, R, 690149, 1, ECG
Pulse Artifact, R, 690373, 1, ECG
Pulse Artifact, R, 690633, 1, ECG
Pulse Artifact, R, 690887, 1, ECG
Pulse Artifact, R, 691118, 1, ECG
Pulse Artifact, R, 691367, 1, ECG
Pulse Artifact, R, 691626, 1, ECG
Pulse Artifact, R, 691868, 1, ECG
Pulse Artifact, R, 692105, 1, ECG
Pulse Artifact, R, 692364, 1, ECG
Pulse Artifact, R, 692651, 1, ECG
Pulse Artifact, R, 692905, 1, ECG
Pulse Artifact, R, 693133, 1, ECG
Pulse Artifact, R, 693382, 1, ECG
Pulse Artifact, R, 693650, 1, ECG
Pulse Artifact, R, 693910, 1, ECG
Pulse Artifact, R, 694136, 1, ECG
Pulse Artifact, R, 694391, 1, ECG
Pulse Artifact, R, 694653, 1, ECG
Pulse Artifact, R, 694888, 1, ECG
Pulse Artifact, R, 695109, 1, ECG
Pulse Artifact, R, 695361, 1, ECG
Pulse Artifact, R, 695616, 1, ECG
Pulse Artifact, R, 695851, 1, ECG
Pulse Artifact, R, 696090, 1, ECG
Pulse Artifact, R, 696347, 1, ECG
Pulse Artifact, R, 696622, 1, ECG
Pulse Artifact, R, 696855, 1, ECG
Pulse Artifact, R, 697089, 1, ECG
Pulse Artifact, R, 697350, 1, ECG
Pulse Artifact, R, 697636, 1, ECG
Pulse Artifact, R, 697864, 1, ECG
Pulse Artifact, R, 698095, 1, ECG
Pulse Artifact, R, 698352, 1, ECG
Pulse Artifact, R, 698613, 1, ECG
Pulse Artifact, R, 698854, 1, ECG
Pulse Artifact, R, 699104, 1, ECG
Pulse Artifact, R, 699607, 1, ECG
Pulse Artifact, R, 699855, 1, ECG
Pulse Artifact, R, 700099, 1, ECG
Pulse Artifact, R, 700362, 1, ECG
Pulse Artifact, R, 700605, 1, ECG
Pulse Artifact, R, 700830, 1, ECG
Pulse Artifact, R, 701110, 1, ECG
Pulse Artifact, R, 701606, 1, ECG
Pulse Artifact, R, 701854, 1, ECG
Pulse Artifact, R, 702101, 1, ECG
Pulse Artifact, R, 702357, 1, ECG
Pulse Artifact, R, 702603, 1, ECG
Pulse Artifact, R, 702831, 1, ECG
Pulse Artifact, R, 703089, 1, ECG
Pulse Artifact, R, 703362, 1, ECG
Pulse Artifact, R, 703600, 1, ECG
Pulse Artifact, R, 703824, 1, ECG
Pulse Artifact, R, 704086, 1, ECG
Pulse Artifact, R, 704347, 1, ECG
Pulse Artifact, R, 704597, 1, ECG
Pulse Artifact, R, 704829, 1, ECG
Pulse Artifact, R, 705086, 1, ECG
Pulse Artifact, R, 705354, 1, ECG
Pulse Artifact, R, 705607, 1, ECG
Pulse Artifact, R, 705837, 1, ECG
Pulse Artifact, R, 706099, 1, ECG
Pulse Artifact, R, 706591, 1, ECG
Pulse Artifact, R, 706840, 1, ECG
Pulse Artifact, R, 707087, 1, ECG
Pulse Artifact, R, 707332, 1, ECG
Pulse Artifact, R, 707581, 1, ECG
Pulse Artifact, R, 707801, 1, ECG
Pulse Artifact, R, 708058, 1, ECG
Pulse Artifact, R, 708555, 1, ECG
Pulse Artifact, R, 708806, 1, ECG
Pulse Artifact, R, 709060, 1, ECG
Pulse Artifact, R, 709309, 1, ECG
Pulse Artifact, R, 709529, 1, ECG
Pulse Artifact, R, 709779, 1, ECG
Pulse Artifact, R, 710057, 1, ECG
Pulse Artifact, R, 710312, 1, ECG
Pulse Artifact, R, 710547, 1, ECG
Pulse Artifact, R, 710799, 1, ECG
Pulse Artifact, R, 711293, 1, ECG
Pulse Artifact, R, 711536, 1, ECG
Pulse Artifact, R, 711785, 1, ECG
Pulse Artifact, R, 712036, 1, ECG
Pulse Artifact, R, 712270, 1, ECG
Pulse Artifact, R, 712501, 1, ECG
Pulse Artifact, R, 712752, 1, ECG
Pulse Artifact, R, 713003, 1, ECG
Pulse Artifact, R, 713238, 1, ECG
Pulse Artifact, R, 713469, 1, ECG
Pulse Artifact, R, 713747, 1, ECG
Pulse Artifact, R, 714225, 1, ECG
Pulse Artifact, R, 714477, 1, ECG
Pulse Artifact, R, 714725, 1, ECG
Pulse Artifact, R, 714967, 1, ECG
Pulse Artifact, R, 715192, 1, ECG
Pulse Artifact, R, 715460, 1, ECG
Pulse Artifact, R, 715943, 1, ECG
Pulse Artifact, R, 716188, 1, ECG
Pulse Artifact, R, 716435, 1, ECG
Pulse Artifact, R, 716714, 1, ECG
Pulse Artifact, R, 716960, 1, ECG
Pulse Artifact, R, 717186, 1, ECG
Pulse Artifact, R, 717422, 1, ECG
Pulse Artifact, R, 717682, 1, ECG
Pulse Artifact, R, 717939, 1, ECG
Pulse Artifact, R, 718178, 1, ECG
Pulse Artifact, R, 718435, 1, ECG
Pulse Artifact, R, 718930, 1, ECG
Pulse Artifact, R, 719177, 1, ECG
Pulse Artifact, R, 719429, 1, ECG
Pulse Artifact, R, 719686, 1, ECG
Pulse Artifact, R, 719915, 1, ECG
Pulse Artifact, R, 720156, 1, ECG
Pulse Artifact, R, 720440, 1, ECG
Pulse Artifact, R, 720919, 1, ECG
Pulse Artifact, R, 721176, 1, ECG
Pulse Artifact, R, 721428, 1, ECG
Pulse Artifact, R, 721671, 1, ECG
Pulse Artifact, R, 721904, 1, ECG
Pulse Artifact, R, 722177, 1, ECG
Pulse Artifact, R, 722431, 1, ECG
Pulse Artifact, R, 722665, 1, ECG
Pulse Artifact, R, 722922, 1, ECG
Pulse Artifact, R, 723428, 1, ECG
Pulse Artifact, R, 723685, 1, ECG
Pulse Artifact, R, 723927, 1, ECG
Pulse Artifact, R, 724182, 1, ECG
Pulse Artifact, R, 724454, 1, ECG
Pulse Artifact, R, 724682, 1, ECG
Pulse Artifact, R, 724923, 1, ECG
Pulse Artifact, R, 725187, 1, ECG
Pulse Artifact, R, 725444, 1, ECG
Pulse Artifact, R, 725679, 1, ECG
Pulse Artifact, R, 725945, 1, ECG
Pulse Artifact, R, 726435, 1, ECG
Pulse Artifact, R, 726695, 1, ECG
Pulse Artifact, R, 726950, 1, ECG
Pulse Artifact, R, 727192, 1, ECG
Pulse Artifact, R, 727434, 1, ECG
Pulse Artifact, R, 727959, 1, ECG
Pulse Artifact, R, 728216, 1, ECG
Pulse Artifact, R, 728450, 1, ECG
Pulse Artifact, R, 728730, 1, ECG
Pulse Artifact, R, 728975, 1, ECG
Pulse Artifact, R, 729223, 1, ECG
Pulse Artifact, R, 729451, 1, ECG
Pulse Artifact, R, 729715, 1, ECG
Pulse Artifact, R, 730194, 1, ECG
Pulse Artifact, R, 730681, 1, ECG
Pulse Artifact, R, 731146, 1, ECG
Pulse Artifact, R, 731386, 1, ECG
Pulse Artifact, R, 731634, 1, ECG
Pulse Artifact, R, 731876, 1, ECG
Pulse Artifact, R, 732087, 1, ECG
Pulse Artifact, R, 732343, 1, ECG
Pulse Artifact, R, 732656, 1, ECG
Pulse Artifact, R, 732985, 1, ECG
Pulse Artifact, R, 733249, 1, ECG
Pulse Artifact, R, 733503, 1, ECG
Pulse Artifact, R, 733751, 1, ECG
Pulse Artifact, R, 734000, 1, ECG
Pulse Artifact, R, 734228, 1, ECG
Pulse Artifact, R, 734481, 1, ECG
Pulse Artifact, R, 734735, 1, ECG
Pulse Artifact, R, 734977, 1, ECG
Pulse Artifact, R, 735212, 1, ECG
Pulse Artifact, R, 735471, 1, ECG
Pulse Artifact, R, 735746, 1, ECG
Pulse Artifact, R, 735988, 1, ECG
Pulse Artifact, R, 736234, 1, ECG
Pulse Artifact, R, 736496, 1, ECG
Pulse Artifact, R, 736764, 1, ECG
Pulse Artifact, R, 736998, 1, ECG
Pulse Artifact, R, 737250, 1, ECG
Pulse Artifact, R, 737511, 1, ECG
Pulse Artifact, R, 737740, 1, ECG
Pulse Artifact, R, 738004, 1, ECG
Pulse Artifact, R, 738280, 1, ECG
Pulse Artifact, R, 738533, 1, ECG
Pulse Artifact, R, 738768, 1, ECG
Pulse Artifact, R, 739044, 1, ECG
Pulse Artifact, R, 739536, 1, ECG
Pulse Artifact, R, 739805, 1, ECG
Pulse Artifact, R, 740060, 1, ECG
Pulse Artifact, R, 740298, 1, ECG
Pulse Artifact, R, 740541, 1, ECG
Pulse Artifact, R, 740808, 1, ECG
Pulse Artifact, R, 741078, 1, ECG
Pulse Artifact, R, 741306, 1, ECG
Pulse Artifact, R, 741564, 1, ECG
Pulse Artifact, R, 741820, 1, ECG
Pulse Artifact, R, 742081, 1, ECG
Pulse Artifact, R, 742315, 1, ECG
Pulse Artifact, R, 742567, 1, ECG
Pulse Artifact, R, 742837, 1, ECG
Pulse Artifact, R, 743090, 1, ECG
Pulse Artifact, R, 743318, 1, ECG
Pulse Artifact, R, 743584, 1, ECG
Pulse Artifact, R, 744099, 1, ECG
Pulse Artifact, R, 744342, 1, ECG
Pulse Artifact, R, 744579, 1, ECG
Pulse Artifact, R, 744830, 1, ECG
Pulse Artifact, R, 745080, 1, ECG
Pulse Artifact, R, 745305, 1, ECG
Pulse Artifact, R, 745585, 1, ECG
Pulse Artifact, R, 746076, 1, ECG
Pulse Artifact, R, 746322, 1, ECG
Pulse Artifact, R, 746579, 1, ECG
Pulse Artifact, R, 746848, 1, ECG
Pulse Artifact, R, 747091, 1, ECG
Pulse Artifact, R, 747325, 1, ECG
Pulse Artifact, R, 747580, 1, ECG
Pulse Artifact, R, 747834, 1, ECG
Pulse Artifact, R, 748073, 1, ECG
Pulse Artifact, R, 748311, 1, ECG
Pulse Artifact, R, 748569, 1, ECG
Pulse Artifact, R, 748824, 1, ECG
Pulse Artifact, R, 749063, 1, ECG
Pulse Artifact, R, 749307, 1, ECG
Pulse Artifact, R, 749565, 1, ECG
Pulse Artifact, R, 749830, 1, ECG
Pulse Artifact, R, 750068, 1, ECG
Pulse Artifact, R, 750313, 1, ECG
Pulse Artifact, R, 750582, 1, ECG
Pulse Artifact, R, 751083, 1, ECG
Pulse Artifact, R, 751327, 1, ECG
Pulse Artifact, R, 751579, 1, ECG
Pulse Artifact, R, 751835, 1, ECG
Pulse Artifact, R, 752103, 1, ECG
Pulse Artifact, R, 752339, 1, ECG
Pulse Artifact, R, 752604, 1, ECG
Pulse Artifact, R, 753090, 1, ECG
Pulse Artifact, R, 753346, 1, ECG
Pulse Artifact, R, 753594, 1, ECG
Pulse Artifact, R, 753850, 1, ECG
Pulse Artifact, R, 754078, 1, ECG
Pulse Artifact, R, 754328, 1, ECG
Pulse Artifact, R, 754583, 1, ECG
Pulse Artifact, R, 754831, 1, ECG
Pulse Artifact, R, 755060, 1, ECG
Pulse Artifact, R, 755325, 1, ECG
Pulse Artifact, R, 755620, 1, ECG
Pulse Artifact, R, 755866, 1, ECG
Pulse Artifact, R, 756096, 1, ECG
Pulse Artifact, R, 756367, 1, ECG
Pulse Artifact, R, 756637, 1, ECG
Pulse Artifact, R, 756877, 1, ECG
Pulse Artifact, R, 757133, 1, ECG
Pulse Artifact, R, 757643, 1, ECG
Pulse Artifact, R, 757897, 1, ECG
Pulse Artifact, R, 758135, 1, ECG
Pulse Artifact, R, 758390, 1, ECG
Pulse Artifact, R, 758643, 1, ECG
Pulse Artifact, R, 758865, 1, ECG
Pulse Artifact, R, 759119, 1, ECG
Pulse Artifact, R, 759402, 1, ECG
Pulse Artifact, R, 759658, 1, ECG
Pulse Artifact, R, 759889, 1, ECG
Pulse Artifact, R, 760153, 1, ECG
Pulse Artifact, R, 760660, 1, ECG
Pulse Artifact, R, 760913, 1, ECG
Pulse Artifact, R, 761160, 1, ECG
Pulse Artifact, R, 761412, 1, ECG
Pulse Artifact, R, 761665, 1, ECG
Pulse Artifact, R, 761909, 1, ECG
Pulse Artifact, R, 762146, 1, ECG
Pulse Artifact, R, 762438, 1, ECG
Pulse Artifact, R, 762921, 1, ECG
Pulse Artifact, R, 763185, 1, ECG
Pulse Artifact, R, 763435, 1, ECG
Pulse Artifact, R, 763679, 1, ECG
Pulse Artifact, R, 763913, 1, ECG
Pulse Artifact, R, 764197, 1, ECG
Pulse Artifact, R, 764693, 1, ECG
Pulse Artifact, R, 764949, 1, ECG
Pulse Artifact, R, 765200, 1, ECG
Pulse Artifact, R, 765458, 1, ECG
Pulse Artifact, R, 765702, 1, ECG
Pulse Artifact, R, 765926, 1, ECG
Pulse Artifact, R, 766211, 1, ECG
Pulse Artifact, R, 766695, 1, ECG
Pulse Artifact, R, 766952, 1, ECG
Pulse Artifact, R, 767202, 1, ECG
Pulse Artifact, R, 767451, 1, ECG
Pulse Artifact, R, 767679, 1, ECG
Pulse Artifact, R, 767935, 1, ECG
Pulse Artifact, R, 768205, 1, ECG
Pulse Artifact, R, 768471, 1, ECG
Pulse Artifact, R, 768702, 1, ECG
Pulse Artifact, R, 768960, 1, ECG
Pulse Artifact, R, 769462, 1, ECG
Pulse Artifact, R, 769713, 1, ECG
Pulse Artifact, R, 769956, 1, ECG
Pulse Artifact, R, 770209, 1, ECG
Pulse Artifact, R, 770460, 1, ECG
Pulse Artifact, R, 770687, 1, ECG
Pulse Artifact, R, 770941, 1, ECG
Pulse Artifact, R, 771215, 1, ECG
Pulse Artifact, R, 771701, 1, ECG
Pulse Artifact, R, 771961, 1, ECG
Pulse Artifact, R, 772208, 1, ECG
Pulse Artifact, R, 772462, 1, ECG
Pulse Artifact, R, 772686, 1, ECG
Pulse Artifact, R, 772943, 1, ECG
Pulse Artifact, R, 773461, 1, ECG
Pulse Artifact, R, 773713, 1, ECG
Pulse Artifact, R, 773954, 1, ECG
Pulse Artifact, R, 774217, 1, ECG
Pulse Artifact, R, 774482, 1, ECG
Pulse Artifact, R, 774730, 1, ECG
Pulse Artifact, R, 774962, 1, ECG
Pulse Artifact, R, 775232, 1, ECG
Pulse Artifact, R, 775724, 1, ECG
Pulse Artifact, R, 775970, 1, ECG
Pulse Artifact, R, 776221, 1, ECG
Pulse Artifact, R, 776479, 1, ECG
Pulse Artifact, R, 776714, 1, ECG
Pulse Artifact, R, 776941, 1, ECG
Pulse Artifact, R, 777219, 1, ECG
Pulse Artifact, R, 777703, 1, ECG
Pulse Artifact, R, 777955, 1, ECG
Pulse Artifact, R, 778209, 1, ECG
Pulse Artifact, R, 778476, 1, ECG
Pulse Artifact, R, 778707, 1, ECG
Pulse Artifact, R, 778942, 1, ECG
Pulse Artifact, R, 779221, 1, ECG
Pulse Artifact, R, 779485, 1, ECG
Pulse Artifact, R, 779717, 1, ECG
Pulse Artifact, R, 779968, 1, ECG
Pulse Artifact, R, 780232, 1, ECG
Pulse Artifact, R, 780492, 1, ECG
Pulse Artifact, R, 780720, 1, ECG
Pulse Artifact, R, 780981, 1, ECG
Pulse Artifact, R, 781242, 1, ECG
Pulse Artifact, R, 781481, 1, ECG
Pulse Artifact, R, 781728, 1, ECG
Pulse Artifact, R, 781992, 1, ECG
Pulse Artifact, R, 782255, 1, ECG
Pulse Artifact, R, 782488, 1, ECG
Pulse Artifact, R, 782744, 1, ECG
Pulse Artifact, R, 783001, 1, ECG
Pulse Artifact, R, 783253, 1, ECG
Pulse Artifact, R, 783478, 1, ECG
Pulse Artifact, R, 783734, 1, ECG
Pulse Artifact, R, 784022, 1, ECG
Pulse Artifact, R, 784266, 1, ECG
Pulse Artifact, R, 784508, 1, ECG
Pulse Artifact, R, 784779, 1, ECG
Pulse Artifact, R, 785042, 1, ECG
Pulse Artifact, R, 785277, 1, ECG
Pulse Artifact, R, 785529, 1, ECG
Pulse Artifact, R, 785804, 1, ECG
Pulse Artifact, R, 786290, 1, ECG
Pulse Artifact, R, 786558, 1, ECG
Pulse Artifact, R, 786806, 1, ECG
Pulse Artifact, R, 787052, 1, ECG
Pulse Artifact, R, 787283, 1, ECG
Pulse Artifact, R, 787562, 1, ECG
Pulse Artifact, R, 788059, 1, ECG
Pulse Artifact, R, 788309, 1, ECG
Pulse Artifact, R, 788565, 1, ECG
Pulse Artifact, R, 788838, 1, ECG
Pulse Artifact, R, 789067, 1, ECG
Pulse Artifact, R, 789301, 1, ECG
Pulse Artifact, R, 789565, 1, ECG
Pulse Artifact, R, 789825, 1, ECG
Pulse Artifact, R, 790060, 1, ECG
Pulse Artifact, R, 790316, 1, ECG
Pulse Artifact, R, 790577, 1, ECG
Pulse Artifact, R, 790827, 1, ECG
Pulse Artifact, R, 791055, 1, ECG
Pulse Artifact, R, 791312, 1, ECG
Pulse Artifact, R, 791588, 1, ECG
Pulse Artifact, R, 792077, 1, ECG
Pulse Artifact, R, 792343, 1, ECG
Pulse Artifact, R, 792595, 1, ECG
Pulse Artifact, R, 792851, 1, ECG
Pulse Artifact, R, 793083, 1, ECG
Pulse Artifact, R, 793323, 1, ECG
Pulse Artifact, R, 793607, 1, ECG
Pulse Artifact, R, 794094, 1, ECG
Pulse Artifact, R, 794367, 1, ECG
Pulse Artifact, R, 794624, 1, ECG
Pulse Artifact, R, 794879, 1, ECG
Pulse Artifact, R, 795112, 1, ECG
Pulse Artifact, R, 795372, 1, ECG
Pulse Artifact, R, 795641, 1, ECG
Pulse Artifact, R, 795903, 1, ECG
Pulse Artifact, R, 796138, 1, ECG
Pulse Artifact, R, 796395, 1, ECG
Pulse Artifact, R, 796662, 1, ECG
Pulse Artifact, R, 796925, 1, ECG
Pulse Artifact, R, 797157, 1, ECG
Pulse Artifact, R, 797414, 1, ECG
Pulse Artifact, R, 797682, 1, ECG
Pulse Artifact, R, 797938, 1, ECG
Pulse Artifact, R, 798167, 1, ECG
Pulse Artifact, R, 798431, 1, ECG
Pulse Artifact, R, 798702, 1, ECG
Pulse Artifact, R, 798958, 1, ECG
